US News Rank,School,Peer Assessment,Recruiter Assessment,Undergrad GPA,GMAT,2015 Full-Time Acceptance %,2015 Avg Starting Salary,2015 % Employed,% Employed 3 months After grad,USN Score
60,Babson College (Olin),3.2,3.3,3.2,628,55.90%,"$85,959 ",52.80%,85.90%,46
60,University of Arizona (Eller),3.3,2.9,3.3,654,38.80%,"$86,009 ",46.20%,84.60%,46
62,Louisiana State University - Baton Rouge (Ourso),2.7,2.8,3.35,626,41.60%,"$67,100 ",90.50%,97.60%,45
63,Texas Christian University (Neely),2.7,3.1,3.26,642,54.50%,"$92,981 ",70.50%,88.60%,44
63,University of Arkansas - Fayetteville (Walton),3,2.5,3.58,630,64.40%,"$67,214 ",71.90%,87.50%,44
63,University of Cincinnati (Lindner),2.6,3,3.59,651,53.20%,"$64,538 ",52.90%,88.20%,44
63,University of Oklahoma (Price),2.8,2.8,3.38,628,55.00%,"$86,835 ",69.00%,89.70%,44
63,University of Tennessee - Knoxville (Haslam),2.8,3.4,3.42,616,50.50%,"$84,571 ",63.40%,77.50%,44
68,Tulane University (Freeman),3,2.9,3.25,664,78.30%,"$93,908 ",58.60%,79.30%,43
68,University of Connecticut,2.8,2.9,3.43,625,41.80%,"$95,809 ",62.50%,79.20%,43
68,University of Miami,2.8,2.6,3.26,643,22.70%,"$86,847 ",74.20%,93.50%,43
71,Case Western Reserve University (Weatherhead),3.2,3,3.23,642,60.00%,"$83,516 ",50.00%,82.50%,42
71,College of William and Mary (Mason),2.9,3.4,3.2,608,59.80%,"$85,875 ",60.00%,86.00%,42
71,Iowa State University,2.5,3,3.48,613,54.50%,"$68,947 ",83.30%,91.70%,42
71,University of South Carolina (Moore),2.9,2.9,3.23,669,52.70%,"$93,999 ",52.90%,76.50%,42
75,University of Louisville,2.6,3,3.4,640,41.00%,"$58,491 ",71.40%,91.40%,41
75,University of Massachusetts - Amherst (Isenberg),2.9,3.3,3.36,639,33.80%,"$77,138 ",42.90%,76.20%,41
77,University of California - San Diego (Rady),2.9,2.6,3.33,657,42.20%,"$80,265 ",48.10%,81.50%,40
77,University of Colorado - Boulder (Leeds),3,3,3.33,616,74.90%,"$78,311 ",48.30%,84.50%,40
79,DePaul University (Kellstadt),2.7,3.1,3.4,626,34.40%,"$74,196 ",52.90%,79.40%,39
79,University of Utah (Eccles),2.8,3.1,3.44,621,64.10%,"$81,853 ",42.90%,78.60%,39
81,Chapman University (Argyros),2.3,3.5,3.34,627,59.10%,"$56,214 ",66.70%,85.70%,38
81,University at Buffalo - SUNY,2.6,3.7,3.36,611,57.80%,"$61,006 ",50.90%,80.70%,38
83,Fordham University (Gabelli),2.9,3.3,3.16,605,58.20%,"$91,714 ",63.00%,70.40%,37
83,Pepperdine University (Graziadio),2.9,3.3,3.23,631,44.80%,"$79,577 ",50.00%,70.00%,37
85,CUNY Bernard M. Baruch College (Zicklin),2.7,2.4,3.29,615,28.70%,"$72,490 ",65.10%,90.70%,36
85,Rochester Institute of Technology (Saunders),2.6,2.8,3.42,536,47.50%,"$59,249 ",85.50%,96.40%,36
85,Syracuse University (Whitman),2.8,3.3,3.53,631,65.00%,"$73,536 ",21.40%,67.90%,36
88,Binghamton University - SUNY,2.3,2.8,3.5,621,63.50%,"$63,340 ",66.70%,76.90%,33
88,St. Louis University (Cook),2.7,3.8,3.26,567,62.30%,"$63,623 ",40.90%,77.30%,33
88,University of Kansas,2.8,2.7,3.21,604,53.90%,"$60,900 ",58.30%,87.50%,33
91,Howard University,2.3,2.7,3.28,494,46.80%,"$103,960 ",87.00%,95.70%,32
92,University of Houston (Bauer),2.6,3,3.29,605,34.80%,"$66,504 ",42.40%,75.80%,31
92,University of Kentucky (Gatton),2.8,3,3.47,636,72.80%,"$58,626 ",31.70%,63.30%,31
92,University of Mississippi,2.5,2.6,3.31,604,33.10%,"$54,801 ",68.50%,87.00%,31
